"ControllerFile","HttpVerb","RouteTemplate","MethodName"
"AuthController.cs","POST","api/Auth/login","Login"
"AuthController.cs","POST","api/Auth/patient/login","PatientLogin"
"AuthController.cs","POST","api/Auth/refresh","Refresh"
"AuthController.cs","GET","api/Auth/me","GetMe"
"BookingsController.cs","POST","api/clinic/bookings","Create"
"BookingsController.cs","POST","api/clinic/bookings/{id:guid}/cancel","Cancel"
"BookingsController.cs","POST","api/clinic/bookings/{id:guid}/reschedule","Reschedule"
"BookingsController.cs","GET","api/clinic/bookings/{id:guid}","GetById"
"BookingsController.cs","GET","api/clinic/bookings","GetAll"
"BookingsController.cs","GET","api/clinic/bookings/my","GetMyBookings"
"ClinicServicesController.cs","GET","api/clinic/services","GetAll"
"ClinicServicesController.cs","GET","api/clinic/services/{id:guid}","GetById"
"ClinicServicesController.cs","POST","api/clinic/services","Create"
"ClinicServicesController.cs","PATCH","api/clinic/services/{id:guid}","Update"
"ClinicServicesController.cs","DELETE","api/clinic/services/{id:guid}","Delete"
"ClinicServicesController.cs","GET","api/clinic/services/doctors/{doctorId:guid}/links","GetDoctorLinks"
"ClinicServicesController.cs","PUT","api/clinic/services/doctors/{doctorId:guid}/links/{clinicServiceId:guid}","UpsertDoctorLink"
"ClinicServicesController.cs","DELETE","api/clinic/services/doctors/{doctorId:guid}/links/{clinicServiceId:guid}","RemoveDoctorLink"
"ClinicSettingsController.cs","GET","api/clinic/settings","GetSettings"
"ClinicSettingsController.cs","PUT","api/clinic/settings","UpdateSettings"
"ClinicSettingsController.cs","PATCH","api/clinic/settings","PatchSettings"
"ClinicSettingsController.cs","GET","api/clinic/settings/payment-options","GetPaymentOptions"
"ClinicSettingsController.cs","PUT","api/clinic/settings/payment-methods","ReplacePaymentMethods"
"DoctorNotesController.cs","POST","api/clinic/doctor-notes","Create"
"DoctorNotesController.cs","GET","api/clinic/doctor-notes/unread","GetUnread"
"DoctorNotesController.cs","GET","api/clinic/doctor-notes","GetAll"
"DoctorNotesController.cs","POST","api/clinic/doctor-notes/{id:guid}/read","MarkAsRead"
"DoctorsController.cs","POST","api/clinic/doctors","CreateDoctor"
"DoctorsController.cs","GET","api/clinic/doctors","GetAllDoctors"
"DoctorsController.cs","GET","api/clinic/doctors/me","GetMyProfile"
"DoctorsController.cs","GET","api/clinic/doctors/{id:guid}","GetDoctorById"
"DoctorsController.cs","PUT","api/clinic/doctors/{id:guid}","UpdateDoctor"
"DoctorsController.cs","PATCH","api/clinic/doctors/{id:guid}","PatchDoctor"
"DoctorsController.cs","POST","api/clinic/doctors/{id:guid}/enable","EnableDoctor"
"DoctorsController.cs","POST","api/clinic/doctors/{id:guid}/disable","DisableDoctor"
"DoctorsController.cs","PUT","api/clinic/doctors/{id:guid}/services","UpdateServices"
"DoctorsController.cs","PUT","api/clinic/doctors/{id:guid}/visit-fields","UpdateVisitFields"
"DoctorsController.cs","GET","api/clinic/doctors/me/visit-fields","GetMyVisitFields"
"DoctorsController.cs","PUT","api/clinic/doctors/me/visit-fields","UpdateMyVisitFields"
"DoctorsController.cs","GET","api/clinic/doctors/me/patients/{patientId:guid}/history","GetMyPatientHistory"
"DoctorsController.cs","GET","api/clinic/doctors/me/patients","GetMyPatients"
"ExpensesController.cs","POST","api/clinic/expenses","Create"
"ExpensesController.cs","PUT","api/clinic/expenses/{id:guid}","Update"
"ExpensesController.cs","DELETE","api/clinic/expenses/{id:guid}","Delete"
"ExpensesController.cs","GET","api/clinic/expenses","GetAll"
"FeatureFlagsController.cs","GET","api/platform/feature-flags/{tenantId}","GetFeatureFlags"
"FeatureFlagsController.cs","PUT","api/platform/feature-flags/{tenantId}","UpdateFeatureFlags"
"FinanceController.cs","GET","api/clinic/finance/daily","GetDailyRevenue"
"FinanceController.cs","GET","api/clinic/finance/by-doctor","GetByDoctor"
"FinanceController.cs","GET","api/clinic/finance/monthly","GetMonthly"
"FinanceController.cs","GET","api/clinic/finance/yearly","GetYearly"
"FinanceController.cs","GET","api/clinic/finance/profit","GetProfit"
"HealthController.cs","GET","api/Health","GetHealth"
"InventoryController.cs","GET","api/clinic/inventory/items","GetItems"
"InventoryController.cs","GET","api/clinic/inventory/items/{itemId:guid}","GetItemById"
"InventoryController.cs","POST","api/clinic/inventory/items","Create"
"InventoryController.cs","PUT","api/clinic/inventory/items/{itemId:guid}","Update"
"InventoryController.cs","POST","api/clinic/inventory/items/{itemId:guid}/activation","SetActivation"
"InvoicesController.cs","POST","api/clinic/invoices","CreateInvoice"
"InvoicesController.cs","PUT","api/clinic/invoices/{id:guid}","UpdateInvoice"
"InvoicesController.cs","PATCH","api/clinic/invoices/{id:guid}","PatchInvoice"
"InvoicesController.cs","GET","api/clinic/invoices/{id:guid}","GetInvoice"
"InvoicesController.cs","GET","api/clinic/invoices","GetInvoices"
"InvoicesController.cs","POST","api/clinic/payments","RecordPayment"
"InvoicesController.cs","POST","api/clinic/invoices/{id:guid}/adjustments","AddAdjustment"
"InvoicesController.cs","POST","api/clinic/invoices/{id:guid}/line-items","AddLineItem"
"InvoicesController.cs","POST","api/clinic/invoices/{id:guid}/refund","Refund"
"InvoicesController.cs","GET","api/clinic/invoices/{id:guid}/payments","GetPayments"
"LabRequestsController.cs","POST","api/clinic/visits/{visitId:guid}/labs","Create"
"LabRequestsController.cs","POST","api/clinic/visits/{visitId:guid}/labs/{labRequestId:guid}/partner-order","CreatePartnerOrder"
"LabRequestsController.cs","PUT","api/clinic/visits/{visitId:guid}/labs/{id:guid}","Update"
"LabRequestsController.cs","POST","api/clinic/visits/{visitId:guid}/labs/{id:guid}/result","AddResult"
"LabRequestsController.cs","GET","api/clinic/visits/{visitId:guid}/labs","GetByVisit"
"LabRequestsController.cs","DELETE","api/clinic/visits/{visitId:guid}/labs/{id:guid}","Delete"
"MarketplaceOrdersController.cs","GET","api/clinic/marketplace/orders","GetOrders"
"MarketplaceOrdersController.cs","GET","api/clinic/marketplace/orders/{orderId:guid}","GetOrderById"
"MarketplaceOrdersController.cs","POST","api/clinic/marketplace/orders/{orderId:guid}/status","UpdateStatus"
"MediaController.cs","POST","api/clinic/media/clinic-logo","UploadClinicLogo"
"MediaController.cs","POST","api/clinic/media/clinic-image","UploadClinicImage"
"MediaController.cs","POST","api/clinic/media/doctors/{doctorId:guid}/photo","UploadDoctorPhoto"
"MessagesController.cs","POST","api/clinic/messages/send","Send"
"MessagesController.cs","POST","api/clinic/messages/{id:guid}/retry","Retry"
"MessagesController.cs","GET","api/clinic/messages/{id:guid}","GetById"
"MessagesController.cs","GET","api/clinic/messages","GetAll"
"NotificationsController.cs","POST","api/clinic/notifications/subscribe","Subscribe"
"NotificationsController.cs","DELETE","api/clinic/notifications/{id:guid}","Unsubscribe"
"NotificationsController.cs","GET","api/clinic/notifications/my","GetMySubscriptions"
"NotificationsController.cs","POST","api/clinic/notifications/send","SendNotification"
"NotificationsController.cs","GET","api/clinic/notifications/in-app","GetInApp"
"NotificationsController.cs","POST","api/clinic/notifications/in-app/{id:guid}/read","MarkInAppRead"
"NotificationsController.cs","POST","api/clinic/notifications/in-app/mark-all-read","MarkAllInAppRead"
"PartnerOrdersController.cs","GET","api/clinic/partner-orders","List"
"PartnerOrdersController.cs","GET","api/clinic/partner-orders/{orderId:guid}","GetById"
"PartnerOrdersController.cs","POST","api/clinic/partner-orders/{orderId:guid}/status","UpdateStatus"
"PartnerOrdersController.cs","POST","api/clinic/partner-orders/{orderId:guid}/accept","Accept"
"PartnerOrdersController.cs","POST","api/clinic/partner-orders/{orderId:guid}/schedule","Schedule"
"PartnerOrdersController.cs","POST","api/clinic/partner-orders/{orderId:guid}/arrived","MarkArrived"
"PartnerOrdersController.cs","POST","api/clinic/partner-orders/{orderId:guid}/result","UploadResult"
"PartnersController.cs","GET","api/clinic/partners","List"
"PartnersController.cs","POST","api/clinic/partners","Create"
"PartnersController.cs","PUT","api/clinic/partners/{partnerId:guid}","Update"
"PartnersController.cs","POST","api/clinic/partners/{partnerId:guid}/activation","SetActivation"
"PartnersController.cs","POST","api/clinic/partners/{partnerId:guid}/users","CreatePartnerUser"
"PartnersController.cs","GET","api/clinic/partners/contracts","ListContracts"
"PartnersController.cs","POST","api/clinic/partners/contracts","CreateContract"
"PartnersController.cs","PUT","api/clinic/partners/contracts/{contractId:guid}","UpdateContract"
"PartnersController.cs","GET","api/clinic/partners/services","ListServices"
"PartnersController.cs","POST","api/clinic/partners/services","CreateService"
"PartnersController.cs","PUT","api/clinic/partners/services/{itemId:guid}","UpdateService"
"PatientAppController.cs","GET","api/clinic/patient-app/profiles/{patientId:guid}","GetProfile"
"PatientAppController.cs","GET","api/clinic/patient-app/profiles/{patientId:guid}/visits","GetVisits"
"PatientAppController.cs","GET","api/clinic/patient-app/profiles/{patientId:guid}/summary","GetSummary"
"PatientAppController.cs","GET","api/clinic/patient-app/profiles/{patientId:guid}/queue-ticket","GetQueueTicket"
"PatientAppController.cs","GET","api/clinic/patient-app/profiles/{patientId:guid}/bookings","GetBookings"
"PatientAppController.cs","GET","api/clinic/patient-app/profiles/{patientId:guid}/partner-orders","GetPartnerOrders"
"PatientCreditsController.cs","GET","api/clinic/patient-credits/{patientId:guid}/balance","GetBalance"
"PatientCreditsController.cs","GET","api/clinic/patient-credits/{patientId:guid}/history","GetHistory"
"PatientMedicalController.cs","POST","api/clinic/patients/{patientId:guid}/medical-documents","UploadDocument"
"PatientMedicalController.cs","GET","api/clinic/patients/{patientId:guid}/medical-documents","ListDocuments"
"PatientMedicalController.cs","GET","api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}","DownloadDocument"
"PatientMedicalController.cs","GET","api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}/threads","ListDocumentThreads"
"PatientMedicalController.cs","POST","api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}/threads","CreateDocumentThread"
"PatientMedicalController.cs","POST","api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}/threads/{threadId:guid}/replies","AddThreadReply"
"PatientMedicalController.cs","POST","api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}/threads/{threadId:guid}/close","CloseThread"
"PatientMedicalController.cs","GET","api/clinic/patients/{patientId:guid}/chronic-conditions","GetChronicProfile"
"PatientMedicalController.cs","PUT","api/clinic/patients/{patientId:guid}/chronic-conditions","UpsertChronicProfile"
"PatientsController.cs","POST","api/clinic/patients","CreatePatient"
"PatientsController.cs","GET","api/clinic/patients","GetAllPatients"
"PatientsController.cs","GET","api/clinic/patients/{id:guid}","GetPatientById"
"PatientsController.cs","PUT","api/clinic/patients/{id:guid}","UpdatePatient"
"PatientsController.cs","PATCH","api/clinic/patients/{id:guid}","PatchPatient"
"PatientsController.cs","POST","api/clinic/patients/{id:guid}/profiles","AddSubProfile"
"PatientsController.cs","POST","api/clinic/patients/{id:guid}/reset-password","ResetPassword"
"PatientsController.cs","POST","api/clinic/patients/{id:guid}/send-credentials","SendCredentials"
"PatientsController.cs","DELETE","api/clinic/patients/{id:guid}","DeletePatient"
"PrescriptionsController.cs","POST","api/clinic/visits/{visitId:guid}/prescriptions","Create"
"PrescriptionsController.cs","POST","api/clinic/visits/{visitId:guid}/prescriptions/{prescriptionId:guid}/partner-order","CreatePartnerOrder"
"PrescriptionsController.cs","PUT","api/clinic/visits/{visitId:guid}/prescriptions/{id:guid}","Update"
"PrescriptionsController.cs","DELETE","api/clinic/visits/{visitId:guid}/prescriptions/{id:guid}","Delete"
"PrescriptionsController.cs","GET","api/clinic/visits/{visitId:guid}/prescriptions","GetByVisit"
"PrescriptionsController.cs","GET","api/clinic/visits/{visitId:guid}/prescriptions/{id:guid}/revisions","GetRevisions"
"PublicController.cs","GET","api/public/{slug}/landing","GetLanding"
"PublicController.cs","GET","api/public/{slug}/clinic","GetClinicProfile"
"PublicController.cs","GET","api/public/{slug}/doctors","GetDoctors"
"PublicController.cs","GET","api/public/{slug}/doctors/available-now","GetAvailableDoctorsNow"
"PublicController.cs","GET","api/public/{slug}/services","GetServices"
"PublicController.cs","GET","api/public/{slug}/payment-options","GetPaymentOptions"
"PublicController.cs","GET","api/public/{slug}/marketplace/items","GetMarketplaceItems"
"PublicController.cs","GET","api/public/{slug}/marketplace/items/{itemId:guid}","GetMarketplaceItemById"
"PublicController.cs","POST","api/public/{slug}/marketplace/orders","CreateMarketplaceOrder"
"PublicController.cs","GET","api/public/{slug}/working-hours","GetWorkingHours"
"QueueBoardController.cs","GET","api/clinic/queue/board","GetBoard"
"QueueBoardController.cs","GET","api/clinic/queue/my-queue","GetMyQueue"
"QueueBoardController.cs","GET","api/clinic/queue/my-ticket","GetMyTicket"
"QueueSessionsController.cs","POST","api/clinic/queue/sessions","OpenSession"
"QueueSessionsController.cs","POST","api/clinic/queue/sessions/{id:guid}/close","CloseSession"
"QueueSessionsController.cs","POST","api/clinic/queue/sessions/close-all","CloseAllSessions"
"QueueSessionsController.cs","GET","api/clinic/queue/sessions","GetSessions"
"QueueSessionsController.cs","GET","api/clinic/queue/sessions/{id:guid}","GetSession"
"QueueSessionsController.cs","GET","api/clinic/queue/sessions/{id:guid}/tickets","GetTickets"
"QueueTicketsController.cs","POST","api/clinic/queue/tickets","IssueTicket"
"QueueTicketsController.cs","POST","api/clinic/queue/tickets/with-payment","IssueTicketWithPayment"
"QueueTicketsController.cs","POST","api/clinic/queue/tickets/{id:guid}/call","CallTicket"
"QueueTicketsController.cs","POST","api/clinic/queue/tickets/{id:guid}/start-visit","StartVisit"
"QueueTicketsController.cs","POST","api/clinic/queue/tickets/{id:guid}/finish","FinishTicket"
"QueueTicketsController.cs","POST","api/clinic/queue/tickets/{id:guid}/skip","SkipTicket"
"QueueTicketsController.cs","POST","api/clinic/queue/tickets/{id:guid}/cancel","CancelTicket"
"QueueTicketsController.cs","POST","api/clinic/queue/tickets/{id:guid}/urgent","MarkUrgent"
"ReportsController.cs","GET","api/clinic/reports/overview","GetOverview"
"ReportsController.cs","GET","api/clinic/reports/services","GetServicesSales"
"ReportsController.cs","GET","api/clinic/reports/my-overview","GetMyOverview"
"SelfServiceRequestsController.cs","GET","api/clinic/self-service-requests","GetAll"
"SelfServiceRequestsController.cs","GET","api/clinic/self-service-requests/{requestId:guid}","GetById"
