HttpVerb,RouteLiteral,NormalizedRoute,FrontendFile,Line
POST,/api/Auth/login,api/auth/login,Frontend/actions/auth/login.ts,10
POST,/api/Auth/patient/login,api/auth/patient/login,Frontend/actions/auth/patientLogin.ts,13
POST,/api/auth/refresh,api/auth/refresh,Frontend/actions/auth/refresh-token.ts,20
POST,/api/clinic/invoices,api/clinic/invoices,Frontend/actions/billing/create-invoice.ts,22
PUT,/api/clinic/invoices/,api/clinic/invoices,Frontend/actions/billing/update-invoice.ts,16
PUT,/api/clinic/invoices/${invoiceId},api/clinic/invoices/{},Frontend/actions/billing/update-invoice.ts,16
POST,/api/clinic/bookings/,api/clinic/bookings,Frontend/actions/booking/cancel-booking.ts,13
POST,/api/clinic/bookings/${bookingId}/cancel,api/clinic/bookings/{}/cancel,Frontend/actions/booking/cancel-booking.ts,13
POST,/api/clinic/bookings,api/clinic/bookings,Frontend/actions/booking/create-booking.ts,20
GET,/api/clinic/bookings,api/clinic/bookings,Frontend/actions/booking/get-booking.ts,17
GET,/api/clinic/bookings?${queryParams.toString()},api/clinic/bookings,Frontend/actions/booking/get-booking.ts,17
GET,/api/clinic/bookings/,api/clinic/bookings,Frontend/actions/booking/get-booking.ts,37
GET,/api/clinic/bookings/${bookingId},api/clinic/bookings/{},Frontend/actions/booking/get-booking.ts,37
POST,/api/clinic/bookings/,api/clinic/bookings,Frontend/actions/booking/reschedule-booking.ts,17
POST,/api/clinic/bookings/${bookingId}/reschedule,api/clinic/bookings/{}/reschedule,Frontend/actions/booking/reschedule-booking.ts,17
POST,/api/clinic/doctors,api/clinic/doctors,Frontend/actions/doctor/create-doctor.ts,32
GET,/api/clinic/doctors/,api/clinic/doctors,Frontend/actions/doctor/get-doctor.ts,11
GET,/api/clinic/doctors/${doctorId},api/clinic/doctors/{},Frontend/actions/doctor/get-doctor.ts,11
GET,/api/clinic/doctors/me,api/clinic/doctors/me,Frontend/actions/doctor/get-doctor.ts,21
PUT,/api/clinic/doctors/,api/clinic/doctors,Frontend/actions/doctor/get-doctor.ts,33
PUT,/api/clinic/doctors/${doctorId}/services,api/clinic/doctors/{}/services,Frontend/actions/doctor/get-doctor.ts,33
GET,/api/clinic/doctors,api/clinic/doctors,Frontend/actions/doctor/get-doctors.ts,11
GET,/api/clinic/doctors?pageNumber=1&pageSize=1000,api/clinic/doctors,Frontend/actions/doctor/get-doctors.ts,11
GET,/api/clinic/doctors/me/patients,api/clinic/doctors/me/patients,Frontend/actions/doctor/get-my-patients.ts,22
GET,/api/clinic/doctors/me/patients?${params.toString()},api/clinic/doctors/me/patients,Frontend/actions/doctor/get-my-patients.ts,22
GET,/api/clinic/queue/my-queue,api/clinic/queue/my-queue,Frontend/actions/doctor/get-my-queue.ts,11
GET,/api/clinic/visits/my,api/clinic/visits/my,Frontend/actions/doctor/get-my-today-visits.ts,18
GET,/api/clinic/visits/my?fromDate=${dateOnly}&toDate=${dateOnly}&pageNumber=1&pageSize=100,api/clinic/visits/my,Frontend/actions/doctor/get-my-today-visits.ts,18
GET,/api/clinic/doctors/me/visit-fields,api/clinic/doctors/me/visit-fields,Frontend/actions/doctor/get-my-visit-fields.ts,10
GET,/api/clinic/doctors/me/patients/,api/clinic/doctors/me/patients,Frontend/actions/doctor/get-patient-history.ts,18
GET,/api/clinic/doctors/me/patients/${patientId}/history?${params.toString()},api/clinic/doctors/me/patients/{}/history,Frontend/actions/doctor/get-patient-history.ts,18
POST,/api/clinic/doctors/,api/clinic/doctors,Frontend/actions/doctor/toggle-doctor-status.ts,17
POST,/api/clinic/doctors/${doctorId}/disable,api/clinic/doctors/{}/disable,Frontend/actions/doctor/toggle-doctor-status.ts,17
POST,/api/clinic/doctors/${doctorId}/enable,api/clinic/doctors/{}/enable,Frontend/actions/doctor/toggle-doctor-status.ts,17
PUT,/api/clinic/doctors/,api/clinic/doctors,Frontend/actions/doctor/update-doctor.ts,14
PUT,/api/clinic/doctors/${id},api/clinic/doctors/{},Frontend/actions/doctor/update-doctor.ts,14
