File,Line,RouteLiteral
Frontend/actions/auth/login.ts,10,/api/Auth/login
Frontend/actions/auth/patientLogin.ts,13,/api/Auth/patient/login
Frontend/actions/auth/refresh-token.ts,20,${process.env.NEXT_PUBLIC_API_URL}/api/auth/refresh
Frontend/actions/billing/create-invoice.ts,22,/api/clinic/invoices
Frontend/actions/billing/update-invoice.ts,16,/api/clinic/invoices/${invoiceId}
Frontend/actions/booking/cancel-booking.ts,13,/api/clinic/bookings/${bookingId}/cancel
Frontend/actions/booking/create-booking.ts,20,/api/clinic/bookings
Frontend/actions/booking/get-booking.ts,18,/api/clinic/bookings?${queryParams.toString()}
Frontend/actions/booking/reschedule-booking.ts,17,/api/clinic/bookings/${bookingId}/reschedule
Frontend/actions/doctor/create-doctor.ts,32,/api/clinic/doctors
Frontend/actions/doctor/get-doctor.ts,11,/api/clinic/doctors/${doctorId}
Frontend/actions/doctor/get-doctors.ts,12,/api/clinic/doctors?pageNumber=1&pageSize=1000
Frontend/actions/doctor/get-my-patients.ts,23,/api/clinic/doctors/me/patients?${params.toString()}
Frontend/actions/doctor/get-my-queue.ts,11,/api/clinic/queue/my-queue
Frontend/actions/doctor/get-my-today-visits.ts,19,/api/clinic/visits/my?fromDate=${dateOnly}&toDate=${dateOnly}&pageNumber=1&pageSize=100
Frontend/actions/doctor/get-my-visit-fields.ts,10,/api/clinic/doctors/me/visit-fields
Frontend/actions/doctor/get-patient-history.ts,19,/api/clinic/doctors/me/patients/${patientId}/history?${params.toString()}
Frontend/actions/doctor/toggle-doctor-status.ts,14,/api/clinic/doctors/${doctorId}/disable
Frontend/actions/doctor/toggle-doctor-status.ts,15,/api/clinic/doctors/${doctorId}/enable
Frontend/actions/doctor/update-doctor.ts,14,/api/clinic/doctors/${id}
Frontend/actions/doctor/update-my-visit-fields.ts,12,/api/clinic/doctors/me/visit-fields
Frontend/actions/doctor/update-my-visit-fields.ts,24,/api/clinic/doctors/me/visit-fields
Frontend/actions/doctor/update-visit-fields.ts,14,/api/clinic/doctors/${doctorId}/visit-fields
Frontend/actions/doctor/upload-photo.ts,13,/api/clinic/media/doctors/${doctorId}/photo
