HttpVerb,RouteTemplate,ControllerFile,MethodName,Status,FrontendMethod,FrontendRouteLiteral,FrontendFile,Note
POST,api/Auth/login,AuthController.cs,Login,wired,POST,/api/Auth/login,Frontend/actions/auth/login.ts:10,matched method and normalized route in actions
POST,api/Auth/patient/login,AuthController.cs,PatientLogin,wired,POST,/api/Auth/patient/login,Frontend/actions/auth/patientLogin.ts:13,matched method and normalized route in actions
POST,api/Auth/refresh,AuthController.cs,Refresh,wired,POST,/api/auth/refresh,Frontend/actions/auth/refresh-token.ts:20,matched method and normalized route in actions
GET,api/Auth/me,AuthController.cs,GetMe,wired,GET,/api/auth/me,Frontend/actions/queue/open-my-session.ts:24,matched method and normalized route in actions
POST,api/clinic/bookings,BookingsController.cs,Create,wired,POST,/api/clinic/bookings/,Frontend/actions/booking/cancel-booking.ts:13,matched method and normalized route in actions
POST,api/clinic/bookings/{id:guid}/cancel,BookingsController.cs,Cancel,wired,POST,/api/clinic/bookings/${bookingId}/cancel,Frontend/actions/booking/cancel-booking.ts:13,matched method and normalized route in actions
POST,api/clinic/bookings/{id:guid}/reschedule,BookingsController.cs,Reschedule,wired,POST,/api/clinic/bookings/${bookingId}/reschedule,Frontend/actions/booking/reschedule-booking.ts:17,matched method and normalized route in actions
GET,api/clinic/bookings/{id:guid},BookingsController.cs,GetById,wired,GET,/api/clinic/bookings/${bookingId},Frontend/actions/booking/get-booking.ts:37,matched method and normalized route in actions
GET,api/clinic/bookings,BookingsController.cs,GetAll,wired,GET,/api/clinic/bookings,Frontend/actions/booking/get-booking.ts:17,matched method and normalized route in actions
GET,api/clinic/bookings/my,BookingsController.cs,GetMyBookings,wired,GET,/api/clinic/bookings/my,Frontend/actions/patient-app/get-my-bookings.ts:11,matched method and normalized route in actions
GET,api/clinic/services,ClinicServicesController.cs,GetAll,wired,GET,/api/clinic/services,Frontend/actions/service/clinic-services.ts:22,matched method and normalized route in actions
GET,api/clinic/services/{id:guid},ClinicServicesController.cs,GetById,wired,GET,/api/clinic/services/${id},Frontend/actions/service/clinic-services.ts:37,matched method and normalized route in actions
POST,api/clinic/services,ClinicServicesController.cs,Create,wired,POST,/api/clinic/services,Frontend/actions/service/clinic-services.ts:49,matched method and normalized route in actions
PATCH,api/clinic/services/{id:guid},ClinicServicesController.cs,Update,wired,PATCH,/api/clinic/services/${id},Frontend/actions/service/clinic-services.ts:64,matched method and normalized route in actions
DELETE,api/clinic/services/{id:guid},ClinicServicesController.cs,Delete,wired,DELETE,/api/clinic/services/${id},Frontend/actions/service/clinic-services.ts:78,matched method and normalized route in actions
GET,api/clinic/services/doctors/{doctorId:guid}/links,ClinicServicesController.cs,GetDoctorLinks,wired,GET,/api/clinic/services/doctors/${doctorId}/links,Frontend/actions/service/doctor-services.ts:15,matched method and normalized route in actions
PUT,api/clinic/services/doctors/{doctorId:guid}/links/{clinicServiceId:guid},ClinicServicesController.cs,UpsertDoctorLink,wired,PUT,/api/clinic/services/doctors/${doctorId}/links/${clinicServiceId},Frontend/actions/service/doctor-services.ts:33,matched method and normalized route in actions
